title,type,duration,genre,synopsis,note,episode_nb,season_nb,date,actors,original_language,original_country
Planet Earth II,TV Mini Series,"4,h, ,58,m",Documentary,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,9.5,6,1 Season,"November 6, 2016 (United Kingdom)","David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan","English,French","United Kingdom,Germany,France,China,United States"
Invincible,TV Series,"50,m","Animation,Action,Adventure",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,8.7,13,,"March 26, 2021 (France)","Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Kevin Michael Richardson,Walton Goggins,Gillian Jacobs,Zachary Quinto,Andrew Rannells,Jason Mantzoukas,Khary Payton,Chris Diamantopoulos,Melise,Mark Hamill,Ross Marquand,Clancy Brown,Fred Tatasciore",English,United States
Oz,TV Series,"55,m","Crime,Drama,Thriller",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,8.7,56,,"December 9, 1998 (France)","Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters",English,United States
Moi Claude empereur,TV Mini Series,"11,h, ,9,m","Biography,Drama,History",The history of the Roman Empire as experienced by one of its rulers.,8.8,13,1 Season,"June 7, 1978 (France)","Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley","English,German",United Kingdom
Dragon Ball Z,TV Series,"24,m","Animation,Action,Adventure","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",8.7,277,,"September 13, 1996 (United States)","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Jillian Michaels,Kyle Hebert,Michael Dobson,Kirby Morrow,Ted Cole,Cynthia Cranz","Japanese,English","Japan,United States,Canada"
Rome,TV Series,"52,m","Action,Drama,History",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,8.7,22,,"June 29, 2006 (France)","Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",English,"United Kingdom,United States"
Larry et son nombril,TV Series,"28,m",Comedy,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,8.7,110,,"October 14, 2003 (France)","Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes,Ellia English,Julia Louis-Dreyfus",English,United States
Dragon Ball Z,TV Series,"24,m","Animation,Action,Adventure","The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught o..., ",8.7,291,1 Season,"December 24, 1990 (France)","Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya",Japanese,
One Punch Man,TV Series,"24,m","Animation,Action,Comedy","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",8.8,25,,"January 2, 2017 (France)","Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma","Japanese,English",Japan
Vinland Saga,TV Series,"24,m","Animation,Action,Adventure",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,8.8,24,1 Season,"July 7, 2019 (France)","Keith Silverstein,Zach Aguilar,Ben Diskin,Ray Chase,Kira Buckland,Patrick Seitz,Allegra Clark,J. Michael Tatum,Abby Trott,Ryan Bartley,Debi Derryberry,Aleks Le,Sean Chiplock,D.C. Douglas,Daman Mills,Kellen Goff,Kyle McCarley,Billy Kametz",Japanese,Japan
Steins;Gate,TV Series,"24,m","Animation,Comedy,Drama","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",8.8,26,1 Season,"March 31, 2017 (France)","Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto","Japanese,English",Japan
Dark,TV Series,"1,h","Crime,Drama,Mystery","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",8.8,26,,"December 1, 2017 (France)","Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Christian Hutcherson,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Tamar Pelzig",German,"Germany,United States"
Peaky Blinders,TV Series,"1,h","Crime,Drama","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.8,36,,"March 12, 2015 (France)","Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Natasha O'Keeffe,Harry Kirton,Joe Cole,Packy Lee,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Jordan Bolger,Sam Neill,Tom Hardy","English,Romanian,Irish Gaelic,Italian,Yiddish",United Kingdom
The Mandalorian,TV Series,"40,m","Action,Adventure,Sci-Fi","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",8.8,24,,"April 7, 2020 (France)","Pedro Pascal,Carl Weathers,Barry Lowin,Gina Carano,Giancarlo Esposito,Chris Bartlett,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Nick Nolte,Werner Herzog,Taika Waititi,Emily Swallow,Gabriel Ebert",English,United States
Special OPS,TV Series,"49,m","Action,Crime,Thriller","The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in ..., ",8.7,8,1 Season,"March 17, 2020 (India)","Kay Kay Menon,Karan Tacker,Gautami Kapoor,Muzamil Ibrahim,Anuj Sharma,Vinay Pathak,Meher Vij,Sajjad Delafrooz,Saiyami Kher,Rajat Kaul,Parmeet Sethi,Vipul Gupta,Sana Khaan,Kali Prasad Mukherjee,Karan Ashar,Divya Dutta,Revathi Pillai,Pakkhi Guptaa",Hindi,India
